Date,Min,Average,Max,First,Last
09.08.2019 0:00,1.11832,1.11981,1.12219,1.11939,1.12015
10.08.2019 0:00,1.13115,1.13115,1.13115,1.13115,1.13115
11.08.2019 0:00,1.11933,1.13018,1.13115,1.13115,1.1199
12.08.2019 0:00,1.11629,1.12038,1.12299,1.12026,1.12135
13.08.2019 0:00,1.11707,1.11958,1.12279,1.12195,1.11725
14.08.2019 0:00,1.11305,1.11655,1.11895,1.11728,1.11385
15.08.2019 0:00,1.10008,1.11339,1.11575,1.11408,1.11074
16.08.2019 0:00,1.08541,1.10932,1.11525,1.1107,1.10913
17.08.2019 0:00,1.1091,1.10945,1.10945,1.10945,1.10945
18.08.2019 0:00,1.10893,1.10942,1.10953,1.10945,1.10945
19.08.2019 0:00,1.10775,1.10944,1.11096,1.10949,1.10791
20.08.2019 0:00,1.10685,1.10863,1.11075,1.10799,1.10991
21.08.2019 0:00,1.10816,1.10966,1.11069,1.1102,1.10855
22.08.2019 0:00,1.10641,1.10858,1.11125,1.10877,1.10815
23.08.2019 0:00,1.10515,1.10889,1.11535,1.10803,1.11465
24.08.2019 0:00,1.11401,1.12404,1.12405,1.12405,1.12405
25.08.2019 0:00,1.1149,1.12333,1.12405,1.12405,1.1151
26.08.2019 0:00,1.08847,1.1125,1.1163,1.11487,1.1105
27.08.2019 0:00,1.10015,1.11009,1.11466,1.11013,1.10914
28.08.2019 0:00,1.1074,1.10861,1.10986,1.1092,1.10791
29.08.2019 0:00,1.10441,1.1073,1.10877,1.10816,1.10571
30.08.2019 0:00,1.09638,1.10296,1.10607,1.10583,1.09843
31.08.2019 0:00,1.10105,1.10105,1.10105,1.10105,1.10105
01.09.2019 0:00,1.09896,1.10089,1.10105,1.10105,1.09931
02.09.2019 0:00,1.09586,1.09782,1.09976,1.09893,1.09697
03.09.2019 0:00,1.09295,1.09517,1.09765,1.09701,1.09741
04.09.2019 0:00,1.09685,1.10009,1.10385,1.09728,1.10345
05.09.2019 0:00,1.10168,1.10398,1.10817,1.10345,1.10355
06.09.2019 0:00,1.10205,1.10352,1.10569,1.10344,1.10326
07.09.2019 0:00,1.10266,1.11324,1.11325,1.11325,1.11325
08.09.2019 0:00,1.10248,1.11232,1.11325,1.11325,1.10269
09.09.2019 0:00,1.10158,1.10372,1.10681,1.10271,1.10491
10.09.2019 0:00,1.10314,1.10432,1.10589,1.10488,1.10437
11.09.2019 0:00,1.09859,1.10259,1.10565,1.10484,1.10095
12.09.2019 0:00,1.09291,1.10256,1.10857,1.10087,1.10657
13.09.2019 0:00,1.10557,1.10774,1.11088,1.10655,1.1084
14.09.2019 0:00,1.11565,1.11565,1.11565,1.11565,1.11565
15.09.2019 0:00,1.10741,1.11494,1.11565,1.11565,1.10741
16.09.2019 0:00,1.09945,1.10459,1.10866,1.10729,1.10016
17.09.2019 0:00,1.09925,1.10278,1.10745,1.10005,1.10725
18.09.2019 0:00,1.10145,1.1057,1.10754,1.10717,1.10291
19.09.2019 0:00,1.10232,1.1047,1.10735,1.10327,1.10415
20.09.2019 0:00,1.09975,1.10375,1.10675,1.10433,1.1015
21.09.2019 0:00,1.1015,1.1015,1.10198,1.1015,1.1015
22.09.2019 0:00,1.10119,1.10151,1.102,1.1015,1.10143
23.09.2019 0:00,1.09678,1.10009,1.10265,1.10165,1.09935
24.09.2019 0:00,1.09842,1.09986,1.10237,1.0995,1.10194
25.09.2019 0:00,1.09376,1.09852,1.10207,1.10193,1.0943
26.09.2019 0:00,1.09116,1.09438,1.09653,1.0943,1.09194
27.09.2019 0:00,1.09052,1.09288,1.0956,1.09172,1.0941
28.09.2019 0:00,1.0941,1.0941,1.0941,1.0941,1.0941
29.09.2019 0:00,1.09395,1.09412,1.09452,1.0941,1.09404
30.09.2019 0:00,1.08872,1.09218,1.09473,1.0942,1.09004
01.10.2019 0:00,1.0881,1.0905,1.09426,1.08992,1.09328
02.10.2019 0:00,1.09049,1.0937,1.09626,1.09322,1.09614
03.10.2019 0:00,1.09414,1.0964,1.09978,1.09601,1.09661
04.10.2019 0:00,1.09587,1.09769,1.09911,1.09718,1.098
05.10.2019 0:00,1.098,1.098,1.098,1.098,1.098
06.10.2019 0:00,1.09707,1.098,1.09855,1.098,1.0982
07.10.2019 0:00,1.09633,1.0981,1.09987,1.0979,1.09726
08.10.2019 0:00,1.09434,1.09721,1.09965,1.09709,1.09558
09.10.2019 0:00,1.09551,1.09713,1.09932,1.09559,1.09734
10.10.2019 0:00,1.09726,1.10051,1.10328,1.09726,1.10058
11.10.2019 0:00,1.10036,1.10276,1.10611,1.10086,1.1035
12.10.2019 0:00,1.1035,1.1035,1.10382,1.1035,1.1035
13.10.2019 0:00,1.10319,1.10349,1.10376,1.1035,1.1033
14.10.2019 0:00,1.10145,1.10282,1.10424,1.10354,1.10283
15.10.2019 0:00,1.09924,1.10241,1.10451,1.10241,1.10303
16.10.2019 0:00,1.10231,1.10446,1.10849,1.10313,1.10725
17.10.2019 0:00,1.10655,1.10995,1.11395,1.10731,1.11253
18.10.2019 0:00,1.11147,1.11366,1.11718,1.11272,1.1165
19.10.2019 0:00,1.1165,1.1165,1.1165,1.1165,1.1165
20.10.2019 0:00,1.11502,1.11643,1.1165,1.1165,1.11618
21.10.2019 0:00,1.11385,1.11577,1.11785,1.11566,1.11495
22.10.2019 0:00,1.11191,1.11428,1.11582,1.1148,1.11232
23.10.2019 0:00,1.11074,1.1123,1.1153,1.11247,1.11297
24.10.2019 0:00,1.10935,1.11253,1.11632,1.11321,1.11062
25.10.2019 0:00,1.10282,1.10994,1.11972,1.11057,1.10803
26.10.2019 0:00,1.10805,1.10805,1.10805,1.10805,1.10805
